"d13c","d15n","whaleid","numid","replicate","lpos"
-17.42,10.27,"bp03",133,NA,0
-17.52,10.53,"bp03",134,1,1
-17.82,10.57,"bp03",135,NA,2
-17.92,10.69,"bp03",136,NA,3
-18.07,10.79,"bp03",137,NA,4
-18.03,10.67,"bp03",138,NA,5
-18.37,10.79,"bp03",139,NA,6
-18.28,10.75,"bp03",140,NA,7
-18.01,10.49,"bp03",141,NA,8
-17.74,10.79,"bp03",142,NA,9
-17.47,10.08,"bp03",143,NA,10
-17.06,10.02,"bp03",144,NA,11
-17.04,9.43,"bp03",145,NA,12
-16.89,9.29,"bp03",146,NA,13
-16.81,9.17,"bp03",147,NA,14
-16.69,9.13,"bp03",148,NA,15
-16.29,9.04,"bp03",149,NA,16
-16.14,8.96,"bp03",150,NA,17
-16.04,9.09,"bp03",151,NA,18
-16.34,9.69,"bp03",152,NA,19
-16.81,10.16,"bp03",153,NA,20
-16.8,10.71,"bp03",154,NA,21
-16.78,10.94,"bp03",155,NA,22
-16.59,10.76,"bp03",156,2,23
-17.01,16.03,"bp01",33,NA,-1
-17.61,16.14,"bp01",1,NA,0
-17.6,16.12,"bp01",2,3,1
-17.31,16.14,"bp01",3,NA,2
-17.1,15.92,"bp01",4,NA,3
-17,15.5,"bp01",5,NA,4
-17.24,15.32,"bp01",6,NA,4
-17.02,15.41,"bp01",7,NA,5
-17.17,14.54,"bp01",8,NA,6
-17.07,14.24,"bp01",9,NA,7
-17.12,13.74,"bp01",10,NA,8
-17.21,13.45,"bp01",11,NA,9
-17.28,13.13,"bp01",12,NA,10
-17.92,12.04,"bp01",13,NA,11
-17.79,12.27,"bp01",15,NA,13
-17.65,12.4,"bp01",16,NA,14
-17.32,13.84,"bp01",17,NA,15
-17.07,14.21,"bp01",18,NA,16
-17.04,14.69,"bp01",19,NA,17
-16.74,15.06,"bp01",20,NA,18
-16.69,15.32,"bp01",21,NA,19
-16.61,15.64,"bp01",22,NA,20
-16.71,16.04,"bp01",23,NA,21
-16.72,15.98,"bp01",24,NA,22
-16.86,16.35,"bp01",25,NA,23
-16.62,16.13,"bp01",26,NA,24
-16.7,15.53,"bp01",27,NA,25
-17.14,15.22,"bp01",28,NA,26
-17.65,14.24,"bp01",29,NA,27
