whaleid,sampleid,rep,platesampleid,d13c,d15n,c_ug,n_ug,cn_ratio,sample_mg,percent_c,percent_n,lab,plate,batch,reference,d13c_nolipid,d15n_nolipid,cn_ratio_nolipid
bp03,bp03_hs-1_65,0,bp1v3a-1,-17.5,10.7,402.636,119.016,3.383040936,0.87,46.28,13.68,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs0_66,1,bp1v3a-2,-17.7,10.3,371.046,110.214,3.366595895,0.78,47.57,14.13,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs0_66,2,bp1v3a-3,-17.9,10.5,324.17,96.943,3.343923749,0.77,42.1,12.59,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs0_66,3,bp1v3a-4,-17.7,10.6,404.742,121.29,3.336977492,0.78,51.89,15.55,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs1_67,1,bp1v3a-5,-17.9,10.5,324.412,97.163,3.338842975,0.73,44.44,13.31,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs1_67,2,bp1v3a-6,-17.8,10.7,331.034,99.384,3.330858086,0.82,40.37,12.12,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs1_67,3,bp1v3a-7,-17.8,10.4,301.239,90.882,3.314616756,0.81,37.19,11.22,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs2_68,1,bp1v3a-8,-17.7,11,410.256,123.585,3.319626168,0.77,53.28,16.05,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs2_68,2,bp1v3a-9,-17.8,11,357.657,108.141,3.307320998,0.87,41.11,12.43,DEVIL,sia_1_valid,1,,,,
bp03,bp03_hs2_68,3,bp1v3a-10,-17.9,10.8,293.37,88.76,3.305205047,0.7,41.91,12.68,DEVIL,sia_1_valid,1,,,,
bp03,bp03_s0_69,1,bp1v3a-11,,,,,,0.76,,,DEVIL,sia_1_valid,1,,,,
bp03,bp03_s0_69,2,bp1v3a-12,-17.5,10.3,265.958,80.234,3.314779271,0.77,34.54,10.42,DEVIL,sia_1_valid,1,,,,
bp03,bp03_s0_69,3,bp1v3a-13,-17.4,10.4,284.043,85.848,3.308673469,0.73,38.91,11.76,DEVIL,sia_1_valid,1,,,,
bp03,bp03_s1_70,1,bp1v3a-14,-17.6,10.3,275.872,82.732,3.334525939,0.74,37.28,11.18,DEVIL,sia_1_valid,1,,,,
bp03,bp03_s1_70,2,bp1v3a-15,-17.6,10.4,341.84,102.4,3.33828125,0.8,42.73,12.8,DEVIL,sia_1_valid,1,,,,
