id,num,type,lpos,lpos2,ab,hpos,mass_mg,notes,labelnote,full_label,location,box,boxcell,datesampled,datefrozen,freezertemp,sub1_mg,sub2_mg,sub3_mg,sub4_mg,sub5_mg,mass_net_mg,consumed,reference
bp01,1,s,0,,,2,4.7,,,bp01_s0_1,feezer,fb8,3,20160201,20161111,,0.67,,,,,4.03,,
bp01,2,s,1,,,1,15,,,bp01_s1_2,feezer,fb8,7,20160201,20161111,,0.74,0.81,,,,13.45,,
bp01,3,s,2,,,0.5,14.7,,,bp01_s2_3,feezer,fb8,9,20160201,20161111,,0.96,,,,,13.74,,
bp01,4,s,3,,,0.5,10.1,,,bp01_s3_4,feezer,fb8,12,20160201,20161111,,0.78,,,,,9.32,,
bp01,5,s,4,,,0.5,17.4,,,bp01_s4_5,feezer,fb8,14,20160201,20161111,,0.74,,,,,16.66,,
bp01,6,s,4,,,,,shavings,,bp01_s4_6,?,?,?,20160201,,,0.81,,,,,-0.81,,
bp01,7,s,5,,,0.5,17.7,,,bp01_s5_7,feezer,fb8,16,20160201,20161111,,0.96,,,,,16.74,,
bp01,8,s,6,,,0.5,30.1,,,bp01_s6_8,feezer,fb8,18,20160201,20161111,,0.97,,,,,29.13,,
bp01,9,s,7,,,0.5,20.4,,,bp01_s7_9,feezer,fb8,20,20160201,20161111,,0.85,,,,,19.55,,
bp01,10,s,8,,,0.5,18.2,,,bp01_s8_10,feezer,fb8,21,20160201,20161111,,0.72,,,,,17.48,,
bp01,11,s,9,,,1,26.5,,,bp01_s9_11,feezer,fb8,23,20160201,20161111,,0.69,,,,,25.81,,
bp01,12,s,10,,,lat,15.5,,,bp01_s10_12,feezer,fb8,25,20160201,20161111,,0.81,,,,,14.69,,
bp01,13,s,11,,,lat,23.4,,,bp01_s11_13,feezer,fb8,27,20160201,20161111,,0.59,,,,,22.81,,
bp01,14,s,12.5,,,lat,18.6,,,bp01_s12.5_14,feezer,fb8,29,20160201,20161111,,0.67,,,,,17.93,,
bp01,15,s,13,,,lat,20.9,,,bp01_s13_15,feezer,fb8,32,20160201,20161111,,0.73,,,,,20.17,,
bp01,16,s,14,,,lat,17.1,,,bp01_s14_16,feezer,fb8,34,20160201,20161111,,0.82,,,,,16.28,,
bp01,17,s,15,,,lat,16.2,,,bp01_s15_17,feezer,fb8,36,20160201,20161111,,0.71,,,,,15.49,,
bp01,18,s,16,,,lat,20.1,,,bp01_s16_18,feezer,fb8,38,20160201,20161111,,0.73,,,,,19.37,,
bp01,19,s,17,,,lat,19.2,,,bp01_s17_19,feezer,fb8,40,20160201,20161111,,0.8,,,,,18.4,,
bp01,20,s,18,,,lat,11.5,,,bp01_s18_20,feezer,fb8,41,20160201,20161111,,0.73,,,,,10.77,,
bp01,21,s,19,,,lat,18.9,,,bp01_s19_21,feezer,fb8,43,20160201,20161111,,0.89,,,,,18.01,,
bp01,22,s,20,,,lat,15.5,,,bp01_s20_22,feezer,fb8,45,20160201,20161111,,0.71,,,,,14.79,,
bp01,23,s,21,,,lat,11.9,,,bp01_s21_23,feezer,fb8,47,20160201,20161111,,0.67,,,,,11.23,,
bp01,24,s,22,,,lat,9.9,,,bp01_s22_24,feezer,fb8,49,20160201,20161111,,0.67,,,,,9.23,,
bp01,25,s,23,,,lat,18.6,,,bp01_s23_25,feezer,fb8,52,20160201,20161111,,0.81,,,,,17.79,,
bp01,26,s,24,,,lat,14.5,,,bp01_s24_26,feezer,fb8,54,20160201,20161111,,0.63,,,,,13.87,,
bp01,27,s,25,,,lat,14.6,,,bp01_s25_27,feezer,fb8,56,20160201,20161111,,0.66,,,,,13.94,,
bp01,28,s,26,,,lat,14.5,,,bp01_s26_28,feezer,fb8,58,20160201,20161111,,0.84,,,,,13.66,,
bp01,29,s,27,,,lat,10.1,,,bp01_s27_29,feezer,fb8,60,20160201,20161111,,0.83,,,,,9.27,,
bp01,30,s,28,,,lat,14.5,,,bp01_s28_30,feezer,fb8,61,20160201,20161111,,0.73,,,,,13.77,,
bp01,31,s,29,,,lat,51.8,,,bp01_s29_31,freezer,fb8,65,20160201,20161111,,0.83,,,,,50.97,,
bp01,32,s,0,,num2,2,7,,,bp01_s0num2_32,feezer,fb8,5,20160201,20161111,,,,,,,7,,
bp01,33,s,-1,,,2,17.9,in the curl,,bp01_s-1_33,feezer,fb8,1,20160201,20161111,,,,,,,17.9,,
bp01,34,ex,,,,,,shavings,,bp01_ex_34,freezer,fb1,98,20160201,20161107,-80,,,,,,0,,
bp01,35,ex,10,11,,lat,,chip,,bp01_ex10_35,freezer,fb1,94,20160201,20161107,-80,,,,,,0,,
bp01,36,ex,29,,,,,chip,,bp01_ex29_36,freezer,fb1,96,20160201,20161107,-80,,,,,,0,,
bp01,37,ex,,,,,,bristle near tip,,bp01_ex_37,freezer,fb1,100,20160201,20161107,-80,,,,,,0,,
bp01,38,ex,7,7.75,,0.5-1.25,,chip,,bp01_ex7_38,freezer,fb1,92,20160201,20161107,-80,,,,,,0,,
bp01,39,h,0,1,,,101.4,,,bp01_h0_39,freezer,fb1,14,20160201,20161107,-80,,,,,,101.4,,
bp01,40,h,2,3,,,104.7,,,bp01_h2_40,freezer,fb1,16,20160201,20161107,-80,,,,,,104.7,,
bp01,41,h,3,4,,,103.8,,,bp01_h3_41,freezer,fb1,18,20160201,20161107,-80,,,,,,103.8,,
bp01,42,h,4,5,,,109.2,,,bp01_h4_42,freezer,fb1,20,20160201,20161107,-80,,,,,,109.2,,
bp01,43,h,5,6,,,142.2,,,bp01_h5_43,freezer,fb1,21,20160201,20161107,-80,17.2,,,,,125,,
bp01,44,h,6.5,7,,,130.9,,,bp01_h6.5_44,freezer,fb1,23,20160201,20161107,-80,,,,,,130.9,,
bp01,45,h,7,8,,,128.5,,,bp01_h7_45,freezer,fb1,25,20160201,20161107,-80,,,,,,128.5,,
bp01,46,h,8,9,,,129.7,,,bp01_h8_46,freezer,fb1,27,20160201,20161107,-80,,,,,,129.7,,
bp01,47,h,9,10,,,130.4,,,bp01_h9_47,freezer,fb1,29,20160201,20161107,-80,,,,,,130.4,,
bp01,48,h,10,11,,,120,,,bp01_h10_48,freezer,fb1,32,20160201,20161107,-80,,,,,,120,,
bp01,49,h,11,12.5,,,107.9,,,bp01_h11_49,freezer,fb1,34,20160201,20161107,-80,,,,,,107.9,,
bp01,50,h,12.5,13,,,104.3,,,bp01_h12.5_50,freezer,fb1,36,20160201,20161107,-80,,,,,,104.3,,
bp01,51,h,13,14,,,105.6,,,bp01_h13_51,freezer,fb1,38,20160201,20161107,-80,,,,,,105.6,,
bp01,52,h,14,15,,,98.9,,,bp01_h14_52,freezer,fb1,40,20160201,20161107,-80,,,,,,98.9,,
bp01,53,h,15,16,,,123.5,,,bp01_h15_53,freezer,fb1,41,20160201,20161107,-80,,,,,,123.5,,
bp01,54,h,16,17,,,119.5,,,bp01_h16_54,freezer,fb1,43,20160201,20161107,-80,,,,,,119.5,,
